"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.67,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.41,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",25.91,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",9.06,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",35.66,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",15.48,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",39.44,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",36.45,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",48.91,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",34185.41,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",34.99,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",17.9,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",39.47,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",14.11,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",47.41,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",49.23,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",67.3,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",13228.37,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",40.22,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",21.99,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",43.19,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",9.62,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",35.36,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",36.06,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",26.3,"provisorisch"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",12.91,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",3.3,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",19.63,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",39.45,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",63.43,"provisorisch"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.12,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.18,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",4.61,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",0.89,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",7.46,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",70.64,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",4.86,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",3.18,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",83.28,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",3903.62,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",8.19,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",3.05,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",10.99,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",69.82,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.21,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",3.26,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",82.79,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",4192.92,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",11.28,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",4.33,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",14.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",63.99,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",5.93,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",2.74,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",79.06,"provisorisch"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",3.22,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.79,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",73.53,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",82.94,"provisorisch"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.04,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.23,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.59,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.18,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",16.92,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",53.34,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",5.84,"provisorisch"
"2025-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",4.38,"provisorisch"
